timestamp	artist	track	music_brainz_id	url
2026-02-11T18:20:33	The Beach Boys	God Only Knows - mono	c994a0b7-653a-4e1d-885d-5d66dc7d4df6	https://www.last.fm/music/The+Beach+Boys/_/God+Only+Knows+-+mono
2026-02-11T18:16:53	Limp Bizkit	Take a Look Around	102387b8-0568-4d77-8994-7533014063f2	https://www.last.fm/music/Limp+Bizkit/_/Take+a+Look+Around
2026-02-11T18:11:49	Limp Bizkit	Take a Look Around	102387b8-0568-4d77-8994-7533014063f2	https://www.last.fm/music/Limp+Bizkit/_/Take+a+Look+Around
2026-02-11T18:27:41	Limp Bizkit	My Way	3ef95ae8-6a84-4cb3-a1db-dedd22ace843	https://www.last.fm/music/Limp+Bizkit/_/My+Way
2026-02-11T18:24:12	Limp Bizkit	Break Stuff	4ff7e797-173f-40dc-bc79-286cf9e7f5d4	https://www.last.fm/music/Limp+Bizkit/_/Break+Stuff
2026-02-11T18:20:33	The Beach Boys	God Only Knows - mono	c994a0b7-653a-4e1d-885d-5d66dc7d4df6	https://www.last.fm/music/The+Beach+Boys/_/God+Only+Knows+-+mono
2026-02-11T18:16:53	Limp Bizkit	Take a Look Around	102387b8-0568-4d77-8994-7533014063f2	https://www.last.fm/music/Limp+Bizkit/_/Take+a+Look+Around
2026-02-11T18:27:41	Limp Bizkit	My Way	3ef95ae8-6a84-4cb3-a1db-dedd22ace843	https://www.last.fm/music/Limp+Bizkit/_/My+Way
2026-02-11T18:24:12	Limp Bizkit	Break Stuff	4ff7e797-173f-40dc-bc79-286cf9e7f5d4	https://www.last.fm/music/Limp+Bizkit/_/Break+Stuff
2026-02-11T18:20:33	The Beach Boys	God Only Knows - mono	c994a0b7-653a-4e1d-885d-5d66dc7d4df6	https://www.last.fm/music/The+Beach+Boys/_/God+Only+Knows+-+mono
2026-02-11T18:27:41	Limp Bizkit	My Way	3ef95ae8-6a84-4cb3-a1db-dedd22ace843	https://www.last.fm/music/Limp+Bizkit/_/My+Way
2026-02-11T18:24:12	Limp Bizkit	Break Stuff	4ff7e797-173f-40dc-bc79-286cf9e7f5d4	https://www.last.fm/music/Limp+Bizkit/_/Break+Stuff
2026-02-11T18:42:06	Dan the Automator	Stroker Ace		https://www.last.fm/music/Dan+the+Automator/_/Stroker+Ace
